R_code,Transportation expense,Office Distance,Age,Body mass index,Absnt_hr_estimate
26.0,289.0,36.0,33.0,30.0,2-4 hrs
26.0,289.0,36.0,33.0,30.0,4-8 hrs
26.0,235.0,11.0,37.0,29.0,4-8 hrs
26.0,260.0,50.0,36.0,23.0,4-8 hrs
26.0,260.0,50.0,36.0,23.0,8-24 hrs
26.0,118.0,10.0,37.0,28.0,2-4 hrs
26.0,330.0,16.0,28.0,25.0,4-8 hrs
26.0,289.0,36.0,33.0,30.0,4-8 hrs
26.0,179.0,51.0,38.0,31.0,4-8 hrs
26.0,235.0,20.0,43.0,38.0,4-8 hrs
26.0,235.0,11.0,37.0,29.0,2-4 hrs
26.0,289.0,36.0,33.0,30.0,4-8 hrs
26.0,235.0,20.0,43.0,38.0,4-8 hrs
26.0,260.0,50.0,36.0,23.0,4-8 hrs
26.0,289.0,36.0,33.0,30.0,4-8 hrs
26.0,235.0,20.0,43.0,38.0,4-8 hrs
26.0,118.0,13.0,50.0,31.0,2-4 hrs
26.0,246.0,25.0,41.0,23.0,4-8 hrs
26.0,330.0,16.0,28.0,25.0,2-4 hrs
26.0,248.0,25.0,47.0,32.0,2-4 hrs
26.0,235.0,20.0,43.0,38.0,4-8 hrs
26.0,118.0,10.0,37.0,28.0,4-8 hrs
26.0,260.0,50.0,36.0,23.0,2-4 hrs
26.0,235.0,20.0,43.0,38.0,4-8 hrs
26.0,289.0,36.0,33.0,30.0,4-8 hrs
26.0,235.0,20.0,43.0,38.0,4-8 hrs
26.0,246.0,25.0,41.0,23.0,4-8 hrs
26.0,369.0,17.0,31.0,25.0,4-8 hrs
26.0,369.0,17.0,31.0,25.0,4-8 hrs
26.0,235.0,20.0,43.0,38.0,4-8 hrs
26.0,235.0,20.0,43.0,38.0,4-8 hrs
26.0,118.0,10.0,37.0,28.0,4-8 hrs
26.0,235.0,20.0,43.0,38.0,2-4 hrs
0.0,118.0,13.0,50.0,31.0,0-2 hrs
0.0,260.0,50.0,36.0,23.0,0-2 hrs
0.0,225.0,26.0,28.0,24.0,0-2 hrs
0.0,289.0,36.0,33.0,30.0,0-2 hrs
0.0,118.0,13.0,50.0,31.0,0-2 hrs
0.0,369.0,17.0,31.0,25.0,0-2 hrs
0.0,118.0,13.0,50.0,31.0,0-2 hrs
0.0,235.0,29.0,48.0,33.0,0-2 hrs
0.0,279.0,5.0,39.0,24.0,0-2 hrs
0.0,330.0,16.0,28.0,25.0,0-2 hrs
0.0,378.0,49.0,36.0,21.0,0-2 hrs
0.0,388.0,15.0,50.0,24.0,0-2 hrs
0.0,260.0,50.0,36.0,23.0,0-2 hrs
0.0,235.0,20.0,43.0,38.0,0-2 hrs
0.0,231.0,35.0,39.0,35.0,0-2 hrs
0.0,291.0,50.0,32.0,23.0,0-2 hrs
0.0,235.0,20.0,43.0,38.0,0-2 hrs
0.0,118.0,13.0,50.0,31.0,0-2 hrs
0.0,248.0,25.0,47.0,32.0,0-2 hrs
0.0,235.0,20.0,43.0,38.0,0-2 hrs
0.0,235.0,20.0,43.0,38.0,0-2 hrs
0.0,260.0,50.0,36.0,23.0,0-2 hrs
0.0,291.0,31.0,40.0,25.0,0-2 hrs
0.0,157.0,27.0,29.0,22.0,0-2 hrs
0.0,330.0,16.0,28.0,25.0,0-2 hrs
0.0,378.0,49.0,36.0,21.0,0-2 hrs
0.0,279.0,5.0,39.0,24.0,0-2 hrs
0.0,369.0,17.0,31.0,25.0,0-2 hrs
0.0,235.0,11.0,37.0,29.0,0-2 hrs
0.0,246.0,25.0,41.0,23.0,0-2 hrs
0.0,118.0,13.0,50.0,31.0,0-2 hrs
